category-en	category-he	name-en	name-he	veg	spicy	ingredients-en	ingredients-he	price-happy	price-evening	price-happy-small	price-evening-small	extra-en	extra-he	extra-price
Snacks	נשנושים	Labaneh	לבאנה			Challah, Grated tomatoes, Hyssop & Olive oil	חלה, רסק עגבניות, זעתר, שמן זית	16	22					
Snacks		Dolmas	עלי גפן	TRUE		Labaneh, Radish, Hyssop & Olive oil	לבאנה, צנונית, זעת, שמן זית	14	18					
Snacks		Fresh Veggie Platter	פלטת ירקות	TRUE		Served with feta cheese or tahini	מוגשת עם פטה או טחינה	18	28					
Snacks		Nachos	נאצ'וס	TRUE	TRUE	Served with tomato salsa	מוגש עם סלסת עגבניות	18	26					
Snacks		Treats Platter	פלטת פינוקים	TRUE		Challah, Bagel, Olives, Artichokes, Tahini & Bouche cheese	חלה, זיתים, ארטישוק, טחינה וגבינת בושה	18	34					
Snacks		Bruschetta	ברוסקטה	TRUE		Tomatoes, Basil, Mozzarella & Balsamic vinegar	עגבניות, בזיליקום, מוצרלה, בלסמי ושמן זית	18	24					
Snacks		Tortilla Pizza	פיצה טורטיה		TRUE	Tomatoe sauce, Cheese mix	רוטב עגבניות, תערובת גבינות	20	26			Goose Pastrami topping	תוספת מעדן אווז	4
Snacks		Mozzarella Sandwich	כריך מצרלה			Tomatoes, Arugula, Pesto & Balsamic vinegar	עגבניות, רוקט, פסטו ובלסמי	26	36	16	20			
Snacks		Coned Beef Sandwich	כריך קורנדביף			Tomatoes, Cornishons, Arugla, Barbeque, Mayo & Mustart	עגבניות, קורנישונים, ברביקיו, חרדל, מיונז ורוקט	28	38	18	22	Bouche cheese	תוספת גבינת בושה	7
